seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.05,-1,4,0.9,0.95,49.73,0.94,45.0375,17189.877135276794,9.59239400267601
2,0.05,-1,1,0.8,0.96,280.675,0.94875,232.66,22612.419746875763,4.093157367408276
2,0.4,-1,1,0.1,0.61,1.045,0.605,1.0,25668.151297330856,4.283873409628868
2,0.1,-1,4,0.8,0.905,12.29,0.9075,14.8675,29116.184538125992,6.442903564274311
2,0.1,-1,2,0.75,0.91,83.95,0.91125,58.25,20980.697254419327,15.612744772732258
2,0.05,-1,8,0.95,0.965,22.84,0.96375,19.40125,22012.336328029633,16.727063350379467
2,0.05,-1,2,0.9,0.97,192.885,0.965,167.27875,25693.087490558624,18.1830235388875
2,0.2,-1,4,0.55,0.8,2.355,0.795,2.03875,39198.04953670502,5.370615192949772
2,0.2,-1,2,0.55,0.805,10.57,0.80625,9.43375,36167.2239587307,13.64344392210245
2,0.1,-1,1,0.6,0.905,188.2,0.895,118.315,46396.07269358635,3.612447955608368
2,0.1,-1,8,0.8,0.925,4.05,0.90125,4.32125,31876.962445259094,19.168772072792052
2,0.2,-1,1,0.5,0.825,84.16,0.8275,67.645,50013.51399517059,3.678958059549332
2,0.2,-1,8,0.65,0.835,2.595,0.845,1.90125,48015.64795589447,6.247596758008004
2,0.4,-1,4,0.1,0.63,1.005,0.6225,1.0,54905.636944532394,3.9227452632784843
2,0.4,-1,8,0.1,0.63,1.005,0.62375,1.0,60200.48825287819,2.920902701318264
2,0.4,-1,2,0.1,0.63,1.005,0.6225,1.0,60560.98405241966,3.1899137666821478
42,0.05,-1,8,0.9,0.96,7.75,0.95125,9.15375,7052.978657960892,3.6271667563915253
42,0.05,-1,4,0.9,0.96,22.21,0.95625,32.54625,7333.468547582626,3.387451230585575
42,0.05,-1,2,0.85,0.97,60.14,0.95875,101.345,8295.016551017761,2.9099691441655158
42,0.05,-1,1,0.7,0.95,148.825,0.9375,177.1075,10572.86754155159,2.394540338516235
42,0.1,-1,2,0.7,0.915,15.67,0.9025,29.53875,10638.918673753738,2.391312512457371
