seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
42,0.05,0.1,8,0.99,0.995,58.875,0.99125,64.30625,5407.090310096741,4.891835365593433
42,0.05,0.001,8,0.99,0.995,58.875,0.99125,64.30625,5433.521772146225,4.877299779057503
42,0.1,0.001,8,0.95,0.97,15.54,0.97125,18.67,6375.185900449753,4.29054933488369
42,0.05,0.01,1,0.95,0.985,486.37,0.99375,429.5125,6531.519288778305,4.413803294301033
42,0.1,0.001,4,0.95,0.97,44.115,0.97875,76.97625,6586.92227101326,4.457482528090477
42,0.05,0.1,2,0.9,0.975,100.8,0.9775,143.8275,7475.327243089676,3.840235332250595
42,0.1,0.01,8,0.9,0.96,7.75,0.95125,9.15375,7876.966041326523,3.7849814704060556
42,0.1,0.001,1,0.85,0.98,287.425,0.9775,286.48,8162.344716787338,3.7149674448370935
42,0.1,0.1,4,0.85,0.94,10.43,0.94,17.955,8472.351343870163,3.475302374958992
42,0.05,0.1,1,0.85,0.98,287.425,0.9775,286.48,8865.98685669899,3.2518105295300486
42,0.1,0.01,2,0.85,0.97,60.14,0.95875,101.345,8963.945240736008,3.2599173939228057
42,0.1,0.001,2,0.85,0.97,60.14,0.95875,101.345,9004.800180912018,3.2348998767137527
42,0.1,0.1,8,0.8,0.93,3.47,0.91625,4.2925,10022.408752202988,2.7645854747295378
42,0.1,0.01,4,0.9,0.96,22.21,0.95625,32.54625,9979.22031211853,2.914396662712097
42,0.1,0.1,1,0.65,0.935,95.5,0.91625,138.84625,11775.322788953781,2.395838512778282
42,0.2,0.001,8,0.65,0.895,2.055,0.8625,2.05875,11829.443369865417,2.404147917330265
42,0.1,0.1,2,0.75,0.93,23.23,0.91875,45.68875,12179.28883266449,2.412959244847298
42,0.2,0.001,4,0.6,0.89,2.07,0.84,2.62125,12469.956667661667,2.4448605829477312
42,0.2,0.001,2,0.6,0.89,11.185,0.8475,12.11125,12714.419361829758,2.417133767604828
42,0.1,0.01,1,0.7,0.95,148.825,0.9375,177.1075,12835.868912220001,2.3873273235559465
42,0.2,0.01,1,0.5,0.895,30.925,0.83,50.35375,14069.076220273972,2.3550357350707056
42,0.2,0.01,8,0.6,0.885,1.805,0.83625,1.8725,14157.717084169388,2.361860798597336
42,0.2,0.01,2,0.5,0.875,3.09,0.7925,5.79125,14254.88294005394,2.3304705360531806
42,0.2,0.01,4,0.55,0.875,1.765,0.81,2.12125,14687.059188604355,2.3045651268959046
42,0.2,0.1,8,0.55,0.865,1.595,0.8075,1.61375,14712.795044183731,2.3143833673000334
42,0.2,0.1,2,0.45,0.84,2.38,0.76875,4.09125,14710.585018396378,2.33196348965168
42,0.2,0.001,1,0.5,0.895,30.925,0.83,50.35375,14933.938234567642,2.3526828587055206
42,0.2,0.1,1,0.4,0.84,10.585,0.7875,19.2925,15220.292646408081,2.353453468978405
42,0.2,0.1,4,0.45,0.845,1.385,0.77,1.5275,15908.293935060501,2.306082908809185
42,0.4,0.001,8,0.2,0.735,1.025,0.69875,1.02375,17197.50730061531,2.254296152591705
42,0.4,0.001,4,0.2,0.735,1.025,0.69875,1.02375,17197.95079112053,2.2611431339383126
42,0.4,0.01,8,0.15,0.7,1.015,0.675,1.00625,17739.781999588013,2.3178596130013465
42,0.4,0.001,1,0.15,0.72,1.09,0.67375,1.28125,17758.817683935165,2.3710218727588654
42,0.4,0.01,4,0.15,0.7,1.015,0.675,1.00625,17773.578713417053,2.337321166396141
42,0.4,0.01,2,0.15,0.705,1.05,0.675,1.00625,17888.73620533943,2.3002274879813194
42,0.4,0.1,4,0.1,0.67,1.005,0.6525,1.00125,18241.087590694427,2.324982169866562
42,0.4,0.1,8,0.1,0.665,1.005,0.65125,1.00125,18388.68413257599,2.2727486836910247
