seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
516,0.4,-1,2,0.04,0.63,1.0,0.5925,1.0,3258.2938499450684,0.44341533571481706
516,0.4,-1,1,0.04,0.635,1.0,0.5875,1.0,5766.420927286148,0.5714692434668541
2024,0.05,-1,8,0.9,0.965,3.0,0.94875,2.705,627.0671038627625,0.4041375431418419
2024,0.05,-1,4,0.9,0.96,7.075,0.94875,5.14,639.9890160560608,0.3956650221347809
2024,0.05,-1,2,0.8,0.95,10.94,0.94125,9.17875,820.6228168010712,0.3784275844693184
2024,0.1,-1,2,0.7,0.91,6.685,0.91875,4.77625,1017.2428588867188,0.3719186529517174
2024,0.05,-1,1,0.65,0.965,15.355,0.9325,15.43375,1075.08358836174,0.3755269041657448
2024,0.1,-1,4,0.65,0.9,1.605,0.8925,1.45875,1121.0967936515808,0.3810529866814613
2024,0.1,-1,1,0.55,0.905,10.405,0.895,9.2575,1276.0088367462158,0.3792483922839165
2024,0.2,-1,2,0.35,0.8,1.09,0.8125,1.05,1665.9623861312866,0.34582984536886213
2024,0.4,-1,2,0.03,0.655,1.0,0.575,1.0,2388.380392074585,0.34469628751277925
2024,0.4,-1,8,0.03,0.65,1.0,0.57625,1.0,2380.386796474457,0.3582203757762909
2024,0.4,-1,4,0.03,0.65,1.0,0.5775,1.0,2467.960058927536,0.35370237052440645
2024,0.2,-1,4,0.35,0.805,1.05,0.81125,1.04125,2851.3591339588165,0.3678541249036789
2024,0.4,-1,1,0.04,0.63,1.0,0.61,1.0,3561.3494997024536,0.31561297804117205
2024,0.1,-1,8,0.65,0.9,1.45,0.89375,1.39375,3627.9435062408447,0.5902660429477692
2024,0.2,-1,8,0.35,0.805,1.05,0.8125,1.04125,4417.528796195984,0.42576175898313523
2024,0.2,-1,1,0.3,0.805,1.675,0.82,1.57375,4535.686717271805,0.42571490466594697
