seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2,0.05,0.001,4,0.99,0.995,30.86,0.995,24.65,1352.4893867969513,1.326387373805046
2,0.05,0.001,8,0.99,0.995,12.54,0.9875,9.4575,1389.1623294353485,1.3390114125609398
2,0.05,0.1,8,0.95,0.99,5.04,0.97,3.84125,1674.3216903209686,1.3628269258141517
2,0.05,0.01,8,0.95,0.99,5.04,0.97,3.84125,1723.985488653183,1.361704012453556
2,0.05,0.001,2,0.95,0.995,26.23,0.98375,24.31125,1811.2913484573364,1.3162921515107155
2,0.05,0.01,4,0.95,0.99,10.695,0.9725,9.315,1773.549934387207,1.3546612501144408
2,0.05,0.1,4,0.85,0.975,4.835,0.94,3.27,2376.1513867378235,1.2291101038455963
2,0.1,0.001,8,0.85,0.97,2.46,0.93625,2.1125,2350.3651349544525,1.2652858489751815
2,0.05,0.001,1,0.85,0.995,31.645,0.975,27.865,2424.342305660248,1.2353003016114235
2,0.05,0.01,2,0.85,0.99,12.93,0.9525,11.905,2480.060849905014,1.2668077877163888
2,0.05,0.01,1,0.8,0.985,27.415,0.96125,23.24125,2703.0824122428894,1.1664552238583565
2,0.05,0.1,2,0.8,0.975,10.77,0.94,7.9725,2780.481048345566,1.1290401914715766
2,0.1,0.001,4,0.8,0.965,3.215,0.9225,2.5025,2698.3035781383514,1.221353907287121
2,0.1,0.001,2,0.8,0.975,10.77,0.94,7.9725,2807.4217574596405,1.1537565571069717
2,0.1,0.01,8,0.8,0.95,2.165,0.92,1.82875,2740.8067393302917,1.2182364022731782
2,0.1,0.01,4,0.8,0.965,3.215,0.9225,2.5025,2788.651316165924,1.2278705099225045
2,0.1,0.1,4,0.75,0.945,2.69,0.90625,1.90375,2989.035926580429,1.160249561369419
2,0.1,0.01,2,0.75,0.95,8.945,0.92375,5.7125,3125.9938356876373,1.069039437174797
2,0.05,0.1,1,0.75,0.975,22.96,0.95375,20.65375,3109.711134672165,1.0957358494400977
2,0.1,0.1,8,0.7,0.93,1.695,0.89875,1.50125,3294.3762645721436,1.065323780477047
2,0.1,0.001,1,0.7,0.97,20.98,0.9425,18.49375,3433.3910415172577,1.0037277367711068
2,0.1,0.1,2,0.7,0.94,7.44,0.90375,3.825,3499.5576391220093,1.0208442813158036
2,0.2,0.01,8,0.55,0.9,1.3,0.845,1.21,4121.126554727554,0.8730934950709343
2,0.2,0.001,2,0.55,0.89,2.145,0.855,1.87875,4228.03206038475,0.8496962150931359
2,0.2,0.001,4,0.55,0.9,1.36,0.845,1.2175,4185.73036980629,0.8981196087598801
2,0.2,0.01,4,0.55,0.9,1.36,0.845,1.2175,4232.448515176773,0.8650192391872406
2,0.2,0.001,8,0.55,0.9,1.3,0.845,1.21,4261.34934258461,0.8809568333625794
2,0.1,0.01,1,0.55,0.95,12.385,0.87875,8.335,4268.370399236679,0.8903330293297768
2,0.2,0.01,2,0.5,0.885,1.95,0.825,1.7525,4401.592066526413,0.8373250165581703
2,0.1,0.1,1,0.5,0.93,9.19,0.8575,6.265,4508.756016969681,0.8192180243134498
2,0.2,0.001,1,0.45,0.905,7.66,0.8325,4.00375,4629.463184118271,0.7590507131814956
2,0.2,0.01,1,0.45,0.905,7.66,0.8325,4.00375,4773.011567592621,0.7864539945125579
2,0.2,0.1,4,0.4,0.845,1.135,0.805,1.075,4842.542212724686,0.7528251707553864
2,0.2,0.1,8,0.4,0.84,1.135,0.80875,1.075,4915.888845205307,0.7398981821537017
2,0.2,0.1,1,0.35,0.84,2.98,0.8175,2.26,4987.886639356613,0.6807746803760528
2,0.2,0.1,2,0.4,0.84,1.28,0.805,1.14125,5000.194603204727,0.7197795951366425
2,0.4,0.001,1,0.15,0.745,1.0,0.74,1.0,5765.831645488739,0.4701341700553894
2,0.4,0.01,1,0.1,0.705,1.0,0.70875,1.0,5827.475191116333,0.4656558707356453
2,0.4,0.01,8,0.1,0.71,1.0,0.72125,1.0,5826.098942756653,0.46700908601284025
2,0.4,0.001,8,0.1,0.71,1.0,0.72125,1.0,5844.477652549744,0.47159512221813205
2,0.4,0.001,2,0.15,0.745,1.0,0.75,1.0,5811.725223779678,0.5051717945933342
