seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
516,0.4,-1,1,0.02,0.605,1.0,0.61375,1.0,5703.5731036663055,1.3227054485678673
2024,0.05,-1,1,0.6,0.975,388.845,0.96625,395.025,2202.724018096924,0.8642364630103111
2024,0.05,-1,8,0.45,0.955,37.43,0.9575,36.405,2984.8009645938873,0.43685148924589157
2024,0.1,-1,8,0.3,0.91,5.79,0.88375,4.85875,3345.3627836704254,0.2748186871409416
2024,0.1,-1,1,0.4,0.915,125.895,0.8925,120.38,3009.72051858902,0.7138219410181046
2024,0.05,-1,4,0.5,0.96,81.2,0.96,78.8375,3096.8350393772125,0.6854413968324661
2024,0.2,-1,2,0.1,0.81,1.145,0.775,1.21125,3556.680703163147,0.2674956455826759
2024,0.1,-1,2,0.4,0.93,45.215,0.9025,48.16375,3382.4579558372498,0.4872949594259262
2024,0.05,-1,2,0.6,0.97,244.835,0.965,241.98875,2987.3229262828827,1.123000373840332
2024,0.4,-1,8,0.02,0.63,1.0,0.60125,1.0,3671.838268995285,0.27441681623458863
2024,0.1,-1,4,0.3,0.905,7.525,0.87625,7.18,3771.9170989990234,0.27081638902425764
2024,0.2,-1,8,0.1,0.81,1.07,0.7775,1.07,3878.2261250019073,0.25457240015268323
2024,0.2,-1,1,0.1,0.8,2.06,0.77125,2.11375,3740.1427206993103,0.8135881522297859
2024,0.2,-1,4,0.1,0.81,1.07,0.7775,1.07125,4226.730519533157,0.23800229370594025
2024,0.4,-1,2,0.02,0.63,1.0,0.60125,1.0,4567.905890464783,0.2278795114159584
2024,0.4,-1,4,0.02,0.63,1.0,0.60125,1.0,4647.816889047623,0.23010219812393187
2024,0.4,-1,1,0.02,0.625,1.0,0.5975,1.0,5219.451102972031,0.8246246352791786
